Text Files,Data Files,Audio Files,Video Files,eBook Files,3D Images,Raster Images,Vector Images,Camera Raw Image,Page Layouts,Spreadsheet Files,Database Files,Executable Files,Game Files,CAD Files,GIS Files,Web Files,Plugin Files,Font Files,System Files,Settings Files,Encoded Files,Compressed Files,Disk Images,Developer Files,Backup Files,Misc Files
.mnt,.mph,.afc,.mxf,.nva,.nif,.mxi,.pl,,.xif,.mar,.nyf,.app,.masseffectprofile,.dft,.pix,.obml16,.m2p,.xft,.hhc,.wfp,.gxk,.gca,.pxi,.cp,.bkf,.dic
.pjt,.tbk,.dmse,.moi,.aep,.pz3,.wb2,.fig,,.max,.fm,.edb,.mpx,.masseffectsave,.pla,.mxt,.url,.vst,.sfp,.hhk,.mmp,.kde,.hki,.fcd,.pas,.skb,.chk
.sct,.tt13,.dmsa,.dream,.qmk,.crz,.fppx,.slddrt,,.hmk,.bks,.itw,.app,.pcsav,.lcf,.mpk,.htx,.dfp,.f3f,.manifest,.wcx,.meo,.hki1,.vdi,.groupproj,.rdb,.cml
.vct,.t16,.at3,.wtv,.oeb,.pp2,.clip,.design,,.dpd,.dis,.sdb,.js,.sav,.cam,.nmc,.vrml,.bav,.nftr,.mdmp,.mycolors,.cef,.hki2,.ibp,.csproj,.bkc,.mdw
.dne,.tt18,.mxl,.tix,.pef,.xsi,.pgm,.rdl,,.sbk,.nmbtemplate,.dbv,.pwc,.rez,.flx,.sxd,.shtml,.amx,.mxf,.ion,.vmc,.psw6,.hki3,.ibq,.gem,.v2i,.glink
.rpt,.in,.seq,.psh,.webz,.tcn,.pdd,.sk2,,.ola,.12m,.sdb,.xqt,.vpk,.sldasm,.3dd,.rt,.amxx,.mcf,.pdr,.aux,.zps,.ice,.eda,.trx,.iv2i,.shs
.doc,.xrdml,.pcast,.wlmp,.edn,.3da,.art,.hpg,,.zno,.ast,.fdb,.a6p,.sims3,.sldprt,.lpk,.shtm,.fs,.pcf,.prefpane,.vbox,.aes,.kgb,.ede,.ise,.fbf,.sfv
.xy3,.cel,.acd-zip,.cpi,.tr,.hip,.tex,.fh10,,.xdw,.def,.4dd,.vdo,.bgl,.slddrw,.hgt,.web,.dpm,.chr,.odex,.osdx,.aep,.paq6,.edk,.mshc,.rbc,.sdr
.xyp,.qbw,.rx2,.dmsm,.htz5,.hipnc,.pcx,.fh11,,.sp,.xl,.pdm,.wcm,.ssc,.lin,.fmi,.adr,.ape,.fea,.pnf,.ins,.scb,.paq7,.eds,.asc,.001,.tlb
.xyw,.xfd,.gpx,.m2p,.bpnueb,.mp,.sct,.vml,,.afp,.dex,.xdb,.ac,.dat,.mc9,.fme,.oth,.oxt,,.desklink,.cnf,.htpasswd,.qda,.edv,.resx,.gb1,.kwm
.pwi,.adt,.ftm,.bdm,.htxt,.3dx,.rle,.epsf,,.psg,.wki,.ihx,.ebm,.sc2map,.mcx,.fds,.do,.scm,,.mapimail,.icst,.klq,.sqx,.eui,.msix,.backupdb,.cch
.safetext,.ii,.m3u8,.dvdmedia,.ceb,.sto,.pic,.mgcb,,.xsn,.wq1,.rsd,.acr,.sc2save,.dgb,.ffs,.cha,.inx,,.mydocs,.kys,.crypt,.lzma,.gkh,.fs,.fbk,.pkpass
.lis,.id2,.als,.dzm,.html0,.meb,.pict,.vbr,,.cld,.wq2,.trc,.scpt,.sc2replay,.pc6,.div,.chat,.wlz,,.sqm,.gid,.safe,.zz,.td0,.fsx,.sqb,.odf
.utxt,.spv,.amxd,.dzp,.snb,.br4,.cin,.cdmt,,.cph,.xlshtml,.lgc,.applescript,.sc2assets,.pc7,.dix,.wrf,.zxp,,.adm,.synw-proj,.enx,.par,.partimg,.fsproj,.bckp,.tpl
.charset,.wdf,.sesx,.camproj,.koob,.c4d,.pcd,.cdmtz,,.lab,.xlthtml,.eco,.u3p,.sc2mod,.tcd,.gpf,.pem,.safariextz,,.msstyles,.ipcc,.tar.md5,.par2,.mds,.pro,.uci,.downloading
.strings,.blg,.aac,.r3d,.htz4,.des,.ras,.cdmz,,.dtp,.fcs,.ecx,.pex,.erf,.ard,.aux,.webloc,.dlu,,.sys,.reg,.esf,.ar,.i00,.sdef,.paq,.sdx
